Date,DJI,UFO
1941,110.96,1
1942,119.4,2
1943,135.89,9
1944,152.32,9
1945,192.91,9
1946,177.2,10
1947,181.16,37
1948,177.3,8
1949,200.13,16
1950,235.41,28
1951,269.23,20
1952,291.9,49
1953,280.9,33
1954,404.39,53
1955,488.4,32
1956,499.47,45
1957,435.69,72
1958,583.65,47
1959,679.36,50
1960,615.89,66
1961,731.14,48
1962,652.1,73
1963,762.95,86
1964,874.13,88
1965,969.26,188
1966,785.69,193
1967,905.11,188
1968,943.75,220
1969,800.36,155
1970,838.92,147
1971,890.2,130
1972,1020.02,158
1973,850.86,226
1974,616.24,273
1975,852.41,319
1976,1004.65,279
1977,831.17,268
1978,805.01,335
1979,838.74,245
1980,963.99,246
1981,875,164
1982,1046.54,183
1983,1258.64,153
1984,1211.57,186
1985,1546.67,218
1986,1895.95,193
1987,1938.83,223
1988,2168.57,241
1989,2753.2,251
1990,2633.66,259
1991,3168.83,234
1992,3301.11,252
1993,3754.09,309
1994,3834.44,421
1995,5117.12,1078
1996,6448.26,834
1997,7908.24,1255
1998,9181.43,1767
1999,11497.12,2805
2000,10786.85,772
2001,10021.5,3122
2002,8341.63,3235
2003,10453.92,3962
2004,10783.01,4257
2005,10717.5,4083
2006,12463.15,3721
2007,13264.82,4269
2008,8776.39,4820
2009,10428.05,4541
2010,11577.51,4283
2011,12217.56,5107
2012,13104.14,7357
2013,16576.66,7037
